omitted_ordinal,position,mask_hex,rank,response_w0,response_w1
35,7,08478888,9,0020000000000000,0000000005010000
37,0,00c84925,9,ef80140002000000,0000000848fe003f
37,1,108c4924,9,3f81660002000000,00000000001707fc
37,2,1a066006,9,312c800000100000,000000000000177c
37,3,08026e0c,9,1044100100000000,000000079a00c801
37,4,2121c124,9,0000004005c002a0,0000000000000000
37,5,20490236,9,00000000020ffc00,0000000000000000
37,6,0b220096,9,00026704280001cd,0000000001600000
37,7,0a439108,9,0000080800000000,0000000004002000
38,0,084a6016,9,f17c100000000000,00000005f803983d
38,1,00e141a4,9,c680068048000004,0000000801bf0002
38,2,18864144,9,3c81e60002400006,00000000000007fc
38,3,09224216,9,000ee00111000020,0000000302604000
38,4,122c0816,9,3f8e67000001fc00,00000000000001c0
38,5,0a439108,9,0000080800000000,0000000004002000
38,6,22045017,9,00000030001e0000,0000000000000000
38,7,23600096,9,00000084ec0003cd,0000000000000000
40,0,00c84925,9,ef80140002000000,0000000848fe003f
40,1,18864144,9,3c81e60002400006,00000000000007fc
40,2,0846680c,9,1024000000000000,00000007bb010000
40,3,0aa30442,9,000080013000100a,0000000000000140
40,4,0a415c40,9,0000003000180000,0000000000003020
40,5,19420a0c,9,0044180000000021,000000000000c000
40,6,014089a5,9,0000004005800280,0000000004000000
40,7,22418321,9,0000000800066c00,0000000000000000
43,0,12448816,9,0f22010000066c20,0000000000003010
43,1,108c4924,9,3f81660002000000,00000000001707fc
43,2,084220b6,9,c020004428900188,0000000001030010
43,3,0140c925,9,0010004005800280,000000070000c000
43,4,01a04964,9,0000e683d8600016,0000000803e00000
43,5,02c0812d,9,0000000800000000,0000000004080002
43,6,00456216,9,0000003000000000,00000006f8000000
43,7,32a40016,9,0000000000001c07,0000000000000000
47,0,108c4924,9,3f81660002000000,00000000001707fc
47,1,1240e124,9,c130000004000280,0000000000081012
47,2,08426216,9,304c101000000000,00000007fa00c809
47,3,29224016,9,0000004519c001e6,0000000000000000
47,4,0b220096,9,00026704280001cd,0000000001600000
47,5,0a439108,9,0000080800000000,0000000004002000
47,6,22045017,9,00000030001e0000,0000000000000000
47,7,026d0203,9,0000000000017c00,0000000820a00000
48,0,00a841a6,9,ce80660000000000,0000000800ff0082
48,1,1a066006,9,312c800000100000,000000000000177c
48,2,08026e0c,9,1044100100000000,000000079a00c801
48,3,2121c124,9,0000004005c002a0,0000000000000000
48,4,20490236,9,00000000020ffc00,0000000000000000
48,5,0b220096,9,00026704280001cd,0000000001600000
48,6,0a439108,9,0000080800000000,0000000004002000
48,7,00c46524,9,3100003000200000,000000004a03002c
53,0,00e141a4,9,c680068048000004,0000000801bf0002
53,1,18864144,9,3c81e60002400006,00000000000007fc
53,2,0b220216,9,000ee10110000021,0000000002600000
53,3,0140c925,9,0010004005800280,000000070000c000
53,4,084f4201,9,00000000020f6000,00000004f8200000
53,5,0a415c40,9,0000003000180000,0000000000003020
53,6,0a439108,9,0000080800000000,0000000004002000
53,7,0ae20442,9,300000003000100a,0000000002000001
55,0,00a1c1a4,9,c600000000400000,00000000011f0082
55,1,1a066006,9,312c800000100000,000000000000177c
55,2,08026e0c,9,1044100100000000,000000079a00c801
55,3,1b060206,9,000fe10000000021,0000000000000000
55,4,20490236,9,00000000020ffc00,0000000000000000
55,5,29600981,9,00000044e98003cc,0000000000000000
55,6,0a439108,9,0000080800000000,0000000004002000
55,7,00c54324,9,0000003012000000,0000000848a00000
57,0,084a6016,9,f17c100000000000,00000005f803983d
57,1,18864144,9,3c81e60002400006,00000000000007fc
57,2,00616096,9,c00000c44c800380,00000000011f0002
57,3,09224216,9,000ee00111000020,0000000302604000
57,4,0b220096,9,00026704280001cd,0000000001600000
57,5,0a439108,9,0000080800000000,0000000004002000
57,6,22045017,9,00000030001e0000,0000000000000000
57,7,026d0203,9,0000000000017c00,0000000820a00000
63,0,08066096,9,0020004408500000,0000000001030010
63,1,122c0816,9,3f8e67000001fc00,00000000000001c0
63,2,08846544,9,3000803100200000,000000004200076c
63,3,0048601f,9,0050100000000000,00000005b81c8803
63,4,080a5816,9,00010000020e0000,0000000000003420
63,5,0a439108,9,0000080800000000,0000000004002000
63,6,01614216,9,0002000011000020,0000000a00a04000
63,7,23600096,9,00000084ec0003cd,0000000000000000
65,0,108449a4,9,0e81660000400004,0000000000170090
65,1,02432096,9,c02000842c100188,0000000001080010
65,2,0b220216,9,000ee10110000021,0000000002600000
65,3,0a0a4416,9,734c1000000ba000,00000000d8003f6d
65,4,0140c925,9,0010004005800280,000000070000c000
65,5,0a439108,9,0000080800000000,0000000004002000
65,6,20415207,9,00000030020e0000,0000000000000000
65,7,026d0203,9,0000000000017c00,0000000820a00000
68,0,00a841a6,9,ce80660000000000,0000000800ff0082
68,1,0a026216,9,304c901100000000,00000000fa000b09
68,2,0902e80c,9,0030000000400000,000000070100c000
68,3,1b060206,9,000fe10000000021,0000000000000000
68,4,20490236,9,00000000020ffc00,0000000000000000
68,5,29600981,9,00000044e98003cc,0000000000000000
68,6,0a415c40,9,0000003000180000,0000000000003020
68,7,0a439108,9,0000080800000000,0000000004002000
71,0,00c84925,9,ef80140002000000,0000000848fe003f
71,1,12448816,9,0f22010000066c20,0000000000003010
71,2,02432096,9,c02000842c100188,0000000001080010
71,3,08846544,9,3000803100200000,000000004200076c
71,4,0140c925,9,0010004005800280,000000070000c000
71,5,18860988,9,0001220000400001,0000000000010000
71,6,0a439108,9,0000080800000000,0000000004002000
71,7,0a4b0601,9,00401000000b3400,00000000d8000800
73,0,108449a4,9,0e81660000400004,0000000000170090
73,1,0a4a2016,9,f17c180000000000,00000000f800183d
73,2,0140c925,9,0010004005800280,000000070000c000
73,3,03224216,9,000ee00110000020,0000000802600000
73,4,20490236,9,00000000020ffc00,0000000000000000
73,5,0a415c40,9,0000003000180000,0000000000003020
73,6,0b220096,9,00026704280001cd,0000000001600000
73,7,02c0812d,9,0000000800000000,0000000004080002
76,0,00a841a6,9,ce80660000000000,0000000800ff0082
76,1,084220b6,9,c020004428900188,0000000001030010
76,2,0160c924,9,00120040058002a0,0000000301004000
76,3,08846544,9,3000803100200000,000000004200076c
76,4,20490236,9,00000000020ffc00,0000000000000000
76,5,0a439108,9,0000080800000000,0000000004002000
76,6,080b4a0c,9,0041300000008000,00000004b800a800
76,7,19260086,9,0002670000400045,0000000000000000
77,0,008c49a4,9,0e81660000000000,0000000800f70090
77,1,08846544,9,3000803100200000,000000004200076c
77,2,0842221e,9,1044180000000000,00000007ba00c801
77,3,2121c124,9,0000004005c002a0,0000000000000000
77,4,1a426006,9,f17c100000100180,000000000000183d
77,5,20490236,9,00000000020ffc00,0000000000000000
77,6,0b220096,9,00026704280001cd,0000000001600000
77,7,02c0812d,9,0000000800000000,0000000004080002
79,0,00c84925,9,ef80140002000000,0000000848fe003f
79,1,0a0a6016,9,f17c100000000000,00000000f8001f7d
79,2,0160c924,9,00120040058002a0,0000000301004000
79,3,122c0816,9,3f8e67000001fc00,00000000000001c0
79,4,0b222016,9,001c800528000188,0000000003000000
79,5,18860988,9,0001220000400001,0000000000010000
79,6,0a439108,9,0000080800000000,0000000004002000
79,7,22045017,9,00000030001e0000,0000000000000000
80,0,00c84925,9,ef80140002000000,0000000848fe003f
80,1,0842221e,9,1044180000000000,00000007ba00c801
80,2,2121c124,9,0000004005c002a0,0000000000000000
80,3,180e4205,9,28084000020f6000,0000000000000388
80,4,13040896,9,0023670000000045,0000000000000000
80,5,0aa30442,9,000080013000100a,0000000000000140
80,6,0a415c40,9,0000003000180000,0000000000003020
80,7,0a868188,9,0000000800000000,0000000005000000
83,0,12448816,9,0f22010000066c20,0000000000003010
83,1,108c4924,9,3f81660002000000,00000000001707fc
83,2,08416885,9,c000004448900380,0000000000060012
83,3,0842221e,9,1044180000000000,00000007ba00c801
83,4,0aa30442,9,000080013000100a,0000000000000140
83,5,00c54324,9,0000003012000000,0000000848a00000
83,6,39220882,9,0000000001c001cd,0000000000000000
83,7,0a868188,9,0000000800000000,0000000005000000
84,0,12448816,9,0f22010000066c20,0000000000003010
84,1,18864144,9,3c81e60002400006,00000000000007fc
84,2,084220b6,9,c020004428900188,0000000001030010
84,3,08846544,9,3000803100200000,000000004200076c
84,4,0842221e,9,1044180000000000,00000007ba00c801
84,5,02c0812d,9,0000000800000000,0000000004080002
84,6,01604895,9,000004c4cd8003c4,0000000800e00000
84,7,32a40016,9,0000000000001c07,0000000000000000
88,0,12448816,9,0f22010000066c20,0000000000003010
88,1,108c4924,9,3f81660002000000,00000000001707fc
88,2,08416885,9,c000004448900380,0000000000060012
88,3,0842221e,9,1044180000000000,00000007ba00c801
88,4,0aa30442,9,000080013000100a,0000000000000140
88,5,02c0812d,9,0000000800000000,0000000004080002
88,6,00c54324,9,0000003012000000,0000000848a00000
88,7,39220882,9,0000000001c001cd,0000000000000000
89,0,00c84925,9,ef80140002000000,0000000848fe003f
89,1,084a6016,9,f17c100000000000,00000005f803983d
89,2,18864144,9,3c81e60002400006,00000000000007fc
89,3,0160c924,9,00120040058002a0,0000000301004000
89,4,122c0816,9,3f8e67000001fc00,00000000000001c0
89,5,0a439108,9,0000080800000000,0000000004002000
89,6,2ba20042,9,000000013800000f,0000000000000000
89,7,22045017,9,00000030001e0000,0000000000000000
90,0,12448816,9,0f22010000066c20,0000000000003010
90,1,00e141a4,9,c680068048000004,0000000801bf0002
90,2,18864144,9,3c81e60002400006,00000000000007fc
90,3,0140c925,9,0010004005800280,000000070000c000
90,4,0aa30442,9,000080013000100a,0000000000000140
90,5,0a415c40,9,0000003000180000,0000000000003020
90,6,09c20a48,9,0000080010000001,0000000002400000
90,7,0a570201,9,0000000800000000,00000000c0000000
94,0,00a841a6,9,ce80660000000000,0000000800ff0082
94,1,1a066006,9,312c800000100000,000000000000177c
94,2,2121c124,9,0000004005c002a0,0000000000000000
94,3,09034a0c,9,0041300110000020,000000061800c000
94,4,00446a0d,9,0000002080000000,00000007ba000000
94,5,20490236,9,00000000020ffc00,0000000000000000
94,6,0b220096,9,00026704280001cd,0000000001600000
94,7,0a439108,9,0000080800000000,0000000004002000
95,0,008849a5,9,ce80440000000000,0000000800fe0092
95,1,08846544,9,3000803100200000,000000004200076c
95,2,0140c925,9,0010004005800280,000000070000c000
95,3,10445816,9,00000000021e0000,0000000000003020
95,4,12650206,9,000201000001fc20,0000000000000000
95,5,1803488c,9,0021220000400000,0000000000010000
95,6,0b220096,9,00026704280001cd,0000000001600000
95,7,0a439108,9,0000080800000000,0000000004002000
96,0,008849a5,9,ce80440000000000,0000000800fe0092
96,1,08846544,9,3000803100200000,000000004200076c
96,2,0843680c,9,0070100000000000,00000006b901c800
96,3,2121c124,9,0000004005c002a0,0000000000000000
96,4,12045816,9,00010000001e0000,0000000000003420
96,5,20490236,9,00000000020ffc00,0000000000000000
96,6,0b220096,9,00026704280001cd,0000000001600000
96,7,0a439108,9,0000080800000000,0000000004002000
97,0,008849a5,9,ce80440000000000,0000000800fe0092
97,1,08846544,9,3000803100200000,000000004200076c
97,2,084a201e,9,1074180000000000,00000005b8018801
97,3,2121c124,9,0000004005c002a0,0000000000000000
97,4,12045816,9,00010000001e0000,0000000000003420
97,5,20490236,9,00000000020ffc00,0000000000000000
97,6,0b220096,9,00026704280001cd,0000000001600000
97,7,02c0812d,9,0000000800000000,0000000004080002
99,0,12448816,9,0f22010000066c20,0000000000003010
99,1,18864144,9,3c81e60002400006,00000000000007fc
99,2,084220b6,9,c020004428900188,0000000001030010
99,3,0160c924,9,00120040058002a0,0000000301004000
99,4,08846544,9,3000803100200000,000000004200076c
99,5,0048601f,9,0050100000000000,00000005b81c8803
99,6,0a439108,9,0000080800000000,0000000004002000
99,7,32a40016,9,0000000000001c07,0000000000000000
