a_hex	b_hex	cover	count	least_mask	labels
0000000000000000	0000000000001224	4	28	01805407	0,1,2,10,12,14,23,24
0000000000000000	00000000000012a4	5	1	31c00403	0,1,10,22,23,24,28,29
0000000000000000	0000000000001410	3	17	0180544c	2,3,6,10,12,14,23,24
0000000000000000	0000000000001430	4	74	01805644	2,6,9,10,12,14,23,24
0000000000000000	0000000000001512	5	41	01c0540c	2,3,10,12,14,22,23,24
0000000000000000	0000000000001736	8	45	01c05424	2,5,10,12,14,22,23,24
0000000000000000	0000000000001800	2	40	1148100d	0,2,3,12,19,22,24,28
0000000000000000	0000000000001824	4	6	11485005	0,2,12,14,19,22,24,28
0000000000000000	0000000000001853	6	1	31c84008	3,14,19,22,23,24,28,29
0000000000000000	0000000000001871	6	2	19c84040	6,14,19,22,23,24,27,28
0000000000000000	0000000000001876	7	1	31c85000	12,14,19,22,23,24,28,29
0000000000000000	0000000000001877	8	4	31c84002	1,14,19,22,23,24,28,29
0000000000000000	0000000000002000	1	32	1100508b	0,1,3,7,12,14,24,28
0000000000000000	0000000000002100	2	1	11c0c088	3,7,14,15,22,23,24,28
0000000000000000	0000000000002200	2	27	1100d083	0,1,7,12,14,15,24,28
0000000000000000	0000000000002300	3	12	11c0c082	1,7,14,15,22,23,24,28
0000000000000000	0000000000002440	3	1	11c050c0	6,7,12,14,22,23,24,28
0000000000000000	0000000000002441	4	5	11c040d0	4,6,7,14,22,23,24,28
0000000000000000	0000000000002740	5	3	11c05084	2,7,12,14,22,23,24,28
0000000000000000	0000000000002741	6	2	31c04082	1,7,14,22,23,24,28,29
0000000000000000	0000000000002800	2	63	1100d00d	0,2,3,12,14,15,24,28
0000000000000000	0000000000002902	4	2	11c0d008	3,12,14,15,22,23,24,28
0000000000000000	0000000000002a04	4	28	1140d005	0,2,12,14,15,22,24,28
0000000000000000	0000000000002b06	6	27	11c0c120	5,8,14,15,22,23,24,28
0000000000000000	0000000000003800	3	27	1140500d	0,2,3,12,14,22,24,28
0000000000000000	0000000000003820	4	4	11c04043	0,1,6,14,22,23,24,28
0000000000000000	0000000000003a24	6	4	11c05003	0,1,12,14,22,23,24,28
0000000000000000	0000000000003c51	7	2	19c04048	3,6,14,22,23,24,27,28
0000000000000000	0000000000003c70	7	4	11c05044	2,6,12,14,22,23,24,28
0000000000000000	0000000000003c71	8	8	19c04050	4,6,14,22,23,24,27,28
0000000000000000	0000000000003f76	11	4	31c05002	1,12,14,22,23,24,28,29
0000000000000000	0000000000004008	2	1	19609040	6,12,15,21,22,24,27,28
0000000000000000	000000000000400e	4	1	19689000	12,15,19,21,22,24,27,28
0000000000000000	0000000000004040	2	2	19285080	7,12,14,19,21,24,27,28
0000000000000000	0000000000004041	3	1	39484080	7,14,19,22,24,27,28,29
0000000000000000	000000000000405a	5	1	19681008	3,12,19,21,22,24,27,28
0000000000000000	0000000000004076	6	1	19685000	12,14,19,21,22,24,27,28
0000000000000000	00000000000040c0	3	1	19681080	7,12,19,21,22,24,27,28
0000000000000000	00000000000040c1	4	1	39480880	7,11,19,22,24,27,28,29
0000000000000000	00000000000040f8	6	1	19681040	6,12,19,21,22,24,27,28
0000000000000000	000000000000410a	4	1	19609008	3,12,15,21,22,24,27,28
0000000000000000	0000000000004300	3	2	1920d080	7,12,14,15,21,24,27,28
0000000000000000	0000000000004306	5	1	1960d000	12,14,15,21,22,24,27,28
0000000000000000	0000000000004440	3	1	192050c0	6,7,12,14,21,24,27,28
0000000000000000	0000000000004458	5	1	19601048	3,6,12,21,22,24,27,28
0000000000000000	0000000000004470	5	1	19605040	6,12,14,21,22,24,27,28
0000000000000000	00000000000044c0	4	1	196010c0	6,7,12,21,22,24,27,28
0000000000000000	0000000000004552	6	1	19605008	3,12,14,21,22,24,27,28
0000000000000000	0000000000004740	5	1	19605080	7,12,14,21,22,24,27,28
0000000000000000	0000000000004776	9	3	19605004	2,12,14,21,22,24,27,28
0000000000000000	0000000000006300	4	1	1940d080	7,12,14,15,22,24,27,28
0000000000000000	0000000000006b06	7	1	1940d800	11,12,14,15,22,24,27,28
0000000000000000	0000000000008000	1	66	10a0c448	3,6,10,14,15,21,23,28
0000000000000000	0000000000008102	3	2	30a0c408	3,10,14,15,21,23,28,29
0000000000000000	0000000000008204	3	1	30c0c401	0,10,14,15,22,23,28,29
0000000000000000	0000000000008306	5	3	30c0c500	8,10,14,15,22,23,28,29
0000000000000000	0000000000008512	5	1	30e04408	3,10,14,21,22,23,28,29
0000000000000000	0000000000009000	2	2	30c04409	0,3,10,14,22,23,28,29
0000000000000000	0000000000009410	4	1	30c04448	3,6,10,14,22,23,28,29
0000000000000000	0000000000009430	5	1	38c04440	6,10,14,22,23,27,28,29
0000000000000000	0000000000009512	6	1	38c04408	3,10,14,22,23,27,28,29
0000000000000000	000000000000a800	3	1	30c0c009	0,3,14,15,22,23,28,29
0000000000000000	0000000000010000	1	107	0020348b	0,1,3,7,10,12,13,21
0000000000000000	0000000000010100	2	5	00e09488	3,7,10,12,15,21,22,23
0000000000000000	0000000000010200	2	2	00a09681	0,7,9,10,12,15,21,23
0000000000000000	0000000000010300	3	1	30a09480	7,10,12,15,21,23,28,29
0000000000000000	0000000000010500	3	9	10a01688	3,7,9,10,12,21,23,28
0000000000000000	0000000000020000	1	1	18a09440	6,10,12,15,21,23,27,28
0000000000000000	0000000000020410	3	1	38201448	3,6,10,12,21,27,28,29
0000000000000000	0000000000030000	2	2	38201409	0,3,10,12,21,27,28,29
0000000000000000	0000000000030102	4	1	38209408	3,10,12,15,21,27,28,29
0000000000000000	0000000000030512	6	3	38201608	3,9,10,12,21,27,28,29
0000000000000000	0000000000038000	3	1	38402409	0,3,10,13,22,27,28,29
0000000000000000	0000000000039000	4	1	38c00409	0,3,10,22,23,27,28,29
0000000000000000	0000000000040000	1	8	002030cb	0,1,3,6,7,12,13,21
0000000000000000	0000000000050000	2	9	0020328b	0,1,3,7,9,12,13,21
0000000000000000	0000000000060000	2	1	38201049	0,3,6,12,21,27,28,29
0000000000000000	0000000000080000	1	252	0088c449	0,3,6,10,14,15,19,23
0000000000000000	0000000000080002	2	3	2088c40c	2,3,10,14,15,19,23,29
0000000000000000	0000000000080006	3	4	2088c424	2,5,10,14,15,19,23,29
0000000000000000	0000000000080102	3	1	3080d408	3,10,12,14,15,23,28,29
0000000000000000	0000000000081000	2	28	2008440f	0,1,2,3,10,14,19,29
0000000000000000	0000000000081010	3	3	2088444c	2,3,6,10,14,19,23,29
0000000000000000	0000000000081012	4	7	2088440e	1,2,3,10,14,19,23,29
0000000000000000	0000000000081030	4	2	28884444	2,6,10,14,19,23,27,29
0000000000000000	0000000000081036	6	6	20884524	2,5,8,10,14,19,23,29
0000000000000000	0000000000081512	6	1	38805408	3,10,12,14,23,27,28,29
0000000000000000	0000000000088000	2	79	1080c449	0,3,6,10,14,15,23,28
0000000000000000	0000000000088102	4	3	3080c40c	2,3,10,14,15,23,28,29
0000000000000000	0000000000089000	3	6	3080440d	0,2,3,10,14,23,28,29
0000000000000000	0000000000089410	5	1	38804448	3,6,10,14,23,27,28,29
0000000000000000	000000000008a800	4	2	1880c049	0,3,6,14,15,23,27,28
0000000000000000	00000000000b8000	4	1	38808409	0,3,10,15,23,27,28,29
0000000000000000	0000000000100000	1	8	1182d080	7,12,14,15,17,23,24,28
0000000000000000	0000000000100006	3	1	11a8d000	12,14,15,19,21,23,24,28
0000000000000000	0000000000100040	2	1	31885080	7,12,14,19,23,24,28,29
0000000000000000	0000000000100041	3	1	318840c0	6,7,14,19,23,24,28,29
0000000000000000	0000000000100070	4	1	11a85040	6,12,14,19,21,23,24,28
0000000000000000	0000000000100300	3	1	11a0d080	7,12,14,15,21,23,24,28
0000000000000000	0000000000100306	5	6	11a0d002	1,12,14,15,21,23,24,28
0000000000000000	0000000000100440	3	1	11a050c0	6,7,12,14,21,23,24,28
0000000000000000	0000000000100470	5	5	11a05042	1,6,12,14,21,23,24,28
0000000000000000	0000000000100740	5	1	31a05080	7,12,14,21,23,24,28,29
0000000000000000	0000000000100776	9	2	31a05002	1,12,14,21,23,24,28,29
0000000000000000	0000000000100800	2	1	3188c040	6,14,15,19,23,24,28,29
0000000000000000	0000000000100806	4	3	3188c002	1,14,15,19,23,24,28,29
0000000000000000	0000000000102000	2	2	1180d0c0	6,7,12,14,15,23,24,28
0000000000000000	0000000000102100	3	1	1180d088	3,7,12,14,15,23,24,28
0000000000000000	0000000000102300	4	6	1180d084	2,7,12,14,15,23,24,28
0000000000000000	0000000000102440	4	1	318050c0	6,7,12,14,23,24,28,29
0000000000000000	0000000000102800	3	3	1180d240	6,9,12,14,15,23,24,28
0000000000000000	0000000000102b06	7	2	3180d002	1,12,14,15,23,24,28,29
0000000000000000	0000000000200000	1	15	11425088	3,7,12,14,17,22,24,28
0000000000000000	0000000000204000	2	9	1148d080	7,12,14,15,19,22,24,28
0000000000000000	0000000000204006	4	1	1168d000	12,14,15,19,21,22,24,28
0000000000000000	0000000000204008	3	4	11609048	3,6,12,15,21,22,24,28
0000000000000000	000000000020400a	4	1	11689008	3,12,15,19,21,22,24,28
0000000000000000	000000000020400e	5	3	11689004	2,12,15,19,21,22,24,28
0000000000000000	0000000000204040	3	5	11485084	2,7,12,14,19,22,24,28
0000000000000000	0000000000204041	4	4	31484082	1,7,14,19,22,24,28,29
0000000000000000	0000000000204052	5	1	11685008	3,12,14,19,21,22,24,28
0000000000000000	0000000000204058	5	1	11681048	3,6,12,19,21,22,24,28
0000000000000000	000000000020405a	6	1	31681008	3,12,19,21,22,24,28,29
0000000000000000	0000000000204070	5	1	11685040	6,12,14,19,21,22,24,28
0000000000000000	0000000000204076	7	4	11685004	2,12,14,19,21,22,24,28
0000000000000000	00000000002040c0	4	4	11681084	2,7,12,19,21,22,24,28
0000000000000000	00000000002040f8	7	4	11681044	2,6,12,19,21,22,24,28
0000000000000000	0000000000204100	3	1	11609088	3,7,12,15,21,22,24,28
0000000000000000	0000000000204102	4	1	1160d008	3,12,14,15,21,22,24,28
0000000000000000	0000000000204300	4	7	11609084	2,7,12,15,21,22,24,28
0000000000000000	0000000000204306	6	6	1160d004	2,12,14,15,21,22,24,28
0000000000000000	0000000000204440	4	1	116050c0	6,7,12,14,21,22,24,28
0000000000000000	0000000000204450	5	1	11605048	3,6,12,14,21,22,24,28
0000000000000000	0000000000204470	6	6	11605044	2,6,12,14,21,22,24,28
0000000000000000	00000000002044c0	5	1	316010c0	6,7,12,21,22,24,28,29
0000000000000000	0000000000204540	5	1	11605088	3,7,12,14,21,22,24,28
0000000000000000	0000000000204740	6	6	11605082	1,7,12,14,21,22,24,28
0000000000000000	0000000000204776	10	5	11605014	2,4,12,14,21,22,24,28
0000000000000000	0000000000204806	5	1	1148d004	2,12,14,15,19,22,24,28
0000000000000000	0000000000205876	9	1	31485004	2,12,14,19,22,24,28,29
0000000000000000	0000000000206100	4	2	1140d088	3,7,12,14,15,22,24,28
0000000000000000	0000000000206300	5	5	1140d084	2,7,12,14,15,22,24,28
0000000000000000	0000000000206540	6	1	31405088	3,7,12,14,22,24,28,29
0000000000000000	0000000000206740	7	3	11405284	2,7,9,12,14,22,24,28
0000000000000000	0000000000300000	2	2	11225088	3,7,12,14,17,21,24,28
0000000000000000	0000000000304000	3	5	1120d0c0	6,7,12,14,15,21,24,28
0000000000000000	0000000000304006	5	1	3128d000	12,14,15,19,21,24,28,29
0000000000000000	0000000000304040	4	4	11285084	2,7,12,14,19,21,24,28
0000000000000000	0000000000304100	4	1	1120d088	3,7,12,14,15,21,24,28
0000000000000000	0000000000304300	5	3	1120d084	2,7,12,14,15,21,24,28
0000000000000000	0000000000400000	1	139	00a88449	0,3,6,10,15,19,21,23
0000000000000000	0000000000400002	2	6	2028940c	2,3,10,12,15,19,21,29
0000000000000000	0000000000400008	2	2	20683006	1,2,12,13,19,21,22,29
0000000000000000	0000000000400010	2	1	30281448	3,6,10,12,19,21,28,29
0000000000000000	0000000000400012	3	7	3028140a	1,3,10,12,19,21,28,29
0000000000000000	0000000000401000	2	7	3048040b	0,1,3,10,19,22,28,29
0000000000000000	0000000000420000	2	8	10a09448	3,6,10,12,15,21,23,28
0000000000000000	0000000000420410	4	2	30601448	3,6,10,12,21,22,28,29
0000000000000000	0000000000428000	3	1	10a08449	0,3,6,10,15,21,23,28
0000000000000000	0000000000430000	3	16	3020140b	0,1,3,10,12,21,28,29
0000000000000000	0000000000430102	5	3	30209608	3,9,10,12,15,21,28,29
0000000000000000	0000000000430512	7	4	30601428	3,5,10,12,21,22,28,29
0000000000000000	0000000000438000	4	7	30202609	0,3,9,10,13,21,28,29
0000000000000000	0000000000460000	3	3	10a09049	0,3,6,12,15,21,23,28
0000000000000000	0000000000470000	4	1	30203209	0,3,9,12,13,21,28,29
0000000000000000	0000000000478000	5	1	3040a209	0,3,9,13,15,22,28,29
0000000000000000	0000000000480000	2	69	2008240f	0,1,2,3,10,13,19,29
0000000000000000	0000000000481000	3	12	3008040f	0,1,2,3,10,19,28,29
0000000000000000	00000000004a8000	4	2	3000a449	0,3,6,10,13,15,28,29
0000000000000000	00000000004b0000	4	1	30003609	0,3,9,10,12,13,28,29
0000000000000000	00000000004b8000	5	4	3000a609	0,3,9,10,13,15,28,29
0000000000000000	0000000000800000	1	540	002c104d	0,2,3,6,12,18,19,21
0000000000000000	0000000000800010	2	4	01a81448	3,6,10,12,19,21,23,24
0000000000000000	0000000000800012	3	17	01a8140c	2,3,10,12,19,21,23,24
0000000000000000	00000000008000a0	3	10	01601445	0,2,6,10,12,21,22,24
0000000000000000	00000000008000a4	4	9	01281605	0,2,9,10,12,19,21,24
0000000000000000	00000000008000b0	4	7	01a81540	6,8,10,12,19,21,23,24
0000000000000000	00000000008000b6	6	9	01e81404	2,10,12,19,21,22,23,24
0000000000000000	00000000008002a4	5	5	01611601	0,9,10,12,16,21,22,24
0000000000000000	0000000000800410	3	9	01a01548	3,6,8,10,12,21,23,24
0000000000000000	00000000008004b0	5	11	01e01444	2,6,10,12,21,22,23,24
0000000000000000	0000000000800512	5	20	01e0140a	1,3,10,12,21,22,23,24
0000000000000000	0000000000801000	2	79	0148140d	0,2,3,10,12,19,22,24
0000000000000000	0000000000801010	3	2	21c80448	3,6,10,19,22,23,24,29
0000000000000000	0000000000801012	4	11	2188040e	1,2,3,10,19,23,24,29
0000000000000000	00000000008010a4	5	3	21081407	0,1,2,10,12,19,24,29
0000000000000000	0000000000881000	3	3	2808140d	0,2,3,10,12,19,27,29
0000000000000000	0000000000c00000	2	16	20280649	0,3,6,9,10,19,21,29
0000000000000000	0000000000c00010	3	1	20a81448	3,6,10,12,19,21,23,29
0000000000000000	0000000000c00012	4	4	20a8140c	2,3,10,12,19,21,23,29
0000000000000000	0000000000c01000	3	1	20c80609	0,3,9,10,19,22,23,29
0000000000000000	0000000000c81000	4	4	2008041f	0,1,2,3,4,10,19,29
0000000000000000	0000000002000000	1	14	0128500d	0,2,3,12,14,19,21,24
0000000000000000	0000000002000800	2	7	09488809	0,3,11,15,19,22,24,27
0000000000000000	0000000002001800	3	4	2108500b	0,1,3,12,14,19,24,29
0000000000000000	0000000002400000	2	1	20289049	0,3,6,12,15,19,21,29
0000000000000000	0000000002800000	2	15	0128104d	0,2,3,6,12,19,21,24
0000000000000000	0000000002801800	4	3	2108001f	0,1,2,3,4,19,24,29
0000000000000000	0000000002c00000	3	1	20281249	0,3,6,9,12,19,21,29
0000000000000000	0000000003000070	5	1	09a85040	6,12,14,19,21,23,24,27
0000000000000000	0000000004000000	1	35	0020d0c9	0,3,6,7,12,14,15,21
0000000000000000	0000000004000080	2	1	096010c1	0,6,7,12,21,22,24,27
0000000000000000	0000000004000200	2	13	01209381	0,7,8,9,12,15,21,24
0000000000000000	0000000004000280	3	2	09601281	0,7,9,12,21,22,24,27
0000000000000000	0000000004002000	2	36	0100528d	0,2,3,7,9,12,14,24
0000000000000000	0000000004002200	3	8	0180c1a1	0,5,7,8,14,15,23,24
0000000000000000	0000000004040000	2	1	002092c9	0,3,6,7,9,12,15,21
0000000000000000	0000000005000440	4	1	09a050c0	6,7,12,14,21,23,24,27
0000000000000000	0000000005002000	3	2	0980d0c0	6,7,12,14,15,23,24,27
0000000000000000	0000000005002300	5	2	09c0c880	7,11,14,15,22,23,24,27
0000000000000000	0000000005004300	5	1	0960d080	7,12,14,15,21,22,24,27
0000000000000000	0000000006000000	2	28	0120504d	0,2,3,6,12,14,21,24
0000000000000000	0000000006000020	3	2	09605041	0,6,12,14,21,22,24,27
0000000000000000	0000000006000204	4	3	01a0d101	0,8,12,14,15,21,23,24
0000000000000000	0000000006000224	5	1	09605005	0,2,12,14,21,22,24,27
0000000000000000	0000000006002800	4	15	0140d00d	0,2,3,12,14,15,22,24
0000000000000000	0000000006002a04	6	8	0180c125	0,2,5,8,14,15,23,24
0000000000000000	0000000006800000	3	11	0160102d	0,2,3,5,12,21,22,24
0000000000000000	0000000007000000	3	2	09a0d040	6,12,14,15,21,23,24,27
0000000000000000	0000000007000008	4	1	09e09040	6,12,15,21,22,23,24,27
0000000000000000	0000000007000306	7	1	09e0d000	12,14,15,21,22,23,24,27
0000000000000000	0000000007000470	7	4	09a05140	6,8,12,14,21,23,24,27
0000000000000000	0000000007002800	5	4	09c0c240	6,9,14,15,22,23,24,27
0000000000000000	0000000007002b06	9	1	09c0d200	9,12,14,15,22,23,24,27
0000000000000000	0000000007004000	4	1	0960d040	6,12,14,15,21,22,24,27
0000000000000000	0000000008000000	1	358	002454c8	3,6,7,10,12,14,18,21
0000000000000000	0000000008000010	2	4	01285448	3,6,10,12,14,19,21,24
0000000000000000	0000000008000012	3	24	0128540a	1,3,10,12,14,19,21,24
0000000000000000	0000000008000030	3	6	01285444	2,6,10,12,14,19,21,24
0000000000000000	0000000008000036	5	12	01285604	2,9,10,12,14,19,21,24
0000000000000000	0000000008000080	2	18	012816c0	6,7,9,10,12,19,21,24
0000000000000000	0000000008000400	2	10	012016c8	3,6,7,9,10,12,21,24
0000000000000000	0000000008000410	3	11	0120544a	1,3,6,10,12,14,21,24
0000000000000000	0000000008000430	4	12	01605442	1,6,10,12,14,21,22,24
0000000000000000	0000000008000480	3	4	016014d0	4,6,7,10,12,21,22,24
0000000000000000	0000000008000500	3	36	0120548a	1,3,7,10,12,14,21,24
0000000000000000	0000000008000512	5	27	0120542c	2,3,5,10,12,14,21,24
0000000000000000	0000000008000700	4	7	01605484	2,7,10,12,14,21,22,24
0000000000000000	0000000008000736	8	4	01605604	2,9,10,12,14,21,22,24
0000000000000000	0000000008001010	3	4	2108444c	2,3,6,10,14,19,24,29
0000000000000000	0000000008001012	4	15	2108440e	1,2,3,10,14,19,24,29
0000000000000000	0000000008001036	6	5	21085406	1,2,10,12,14,19,24,29
0000000000000000	0000000008001512	6	1	29405408	3,10,12,14,22,24,27,29
0000000000000000	0000000008800000	2	170	006c1448	3,6,10,12,18,19,21,22
0000000000000000	0000000008800010	3	15	0128144c	2,3,6,10,12,19,21,24
0000000000000000	0000000008800012	4	59	0128142c	2,3,5,10,12,19,21,24
0000000000000000	00000000088000b0	5	12	01681444	2,6,10,12,19,21,22,24
0000000000000000	00000000088000b6	7	12	01691600	9,10,12,16,19,21,22,24
0000000000000000	0000000008800410	4	16	0160144a	1,3,6,10,12,21,22,24
0000000000000000	00000000088004b0	6	4	01611640	6,9,10,12,16,21,22,24
0000000000000000	0000000008800512	6	34	0160142c	2,3,5,10,12,21,22,24
0000000000000000	0000000008801010	4	1	2148044c	2,3,6,10,19,22,24,29
0000000000000000	0000000008801012	5	18	2108140e	1,2,3,10,12,19,24,29
0000000000000000	00000000088010b6	8	1	21481406	1,2,10,12,19,22,24,29
0000000000000000	0000000008c00010	4	3	2028144c	2,3,6,10,12,19,21,29
0000000000000000	0000000008c00012	5	6	2028140e	1,2,3,10,12,19,21,29
0000000000000000	000000000b004070	7	1	09685040	6,12,14,19,21,22,24,27
0000000000000000	000000000d004440	6	1	096050c0	6,7,12,14,21,22,24,27
0000000000000000	0000000010000000	1	524	0024304b	0,1,3,6,12,13,18,21
0000000000000000	0000000010800000	2	43	0024144b	0,1,3,6,10,12,18,21
0000000000000000	0000000018000000	2	8	00645448	3,6,10,12,14,18,21,22
0000000000000000	0000000018800000	3	4	08641448	3,6,10,12,18,21,22,27
0000000000000000	0000000020000000	1	35	00a0d441	0,6,10,12,14,15,21,23
0000000000000000	0000000020000102	3	3	2060d408	3,10,12,14,15,21,22,29
0000000000000000	0000000020008000	2	60	00a0c449	0,3,6,10,14,15,21,23
0000000000000000	0000000020020000	2	3	08a09448	3,6,10,12,15,21,23,27
0000000000000000	0000000020030000	3	2	28209409	0,3,10,12,15,21,27,29
0000000000000000	0000000020030102	5	1	28a09408	3,10,12,15,21,23,27,29
0000000000000000	0000000020080000	2	23	0080d449	0,3,6,10,12,14,15,23
0000000000000000	0000000020088000	3	67	0080c549	0,3,6,8,10,14,15,23
0000000000000000	0000000020088306	7	1	2080c524	2,5,8,10,14,15,23,29
0000000000000000	0000000020420000	3	11	00a09449	0,3,6,10,12,15,21,23
0000000000000000	0000000020430000	4	7	20209609	0,3,9,10,12,15,21,29
0000000000000000	0000000020430102	6	1	20e09408	3,10,12,15,21,22,23,29
0000000000000000	00000000204b0000	5	1	2000b609	0,3,9,10,12,13,15,29
0000000000000000	0000000026000000	3	1	00a0d049	0,3,6,12,14,15,21,23
0000000000000000	0000000027000000	4	1	08e0d040	6,12,14,15,21,22,23,27
0000000000000000	0000000030000000	2	44	20205449	0,3,6,10,12,14,21,29
0000000000000000	0000000030000410	4	1	20a05448	3,6,10,12,14,21,23,29
0000000000000000	0000000030000430	5	1	28a05440	6,10,12,14,21,23,27,29
0000000000000000	0000000030000512	6	6	20a0540c	2,3,10,12,14,21,23,29
0000000000000000	0000000030008000	3	34	20a06409	0,3,10,13,14,21,23,29
0000000000000000	0000000030030000	4	4	28203409	0,3,10,12,13,21,27,29
0000000000000000	0000000030080000	3	14	20007609	0,3,9,10,12,13,14,29
0000000000000000	0000000030088000	4	14	2080640d	0,2,3,10,13,14,23,29
0000000000000000	0000000030089000	5	1	28804449	0,3,6,10,14,23,27,29
0000000000000000	0000000030420000	4	3	20203449	0,3,6,10,12,13,21,29
0000000000000000	0000000030430000	5	8	2020340b	0,1,3,10,12,13,21,29
0000000000000000	0000000030820000	4	1	28201449	0,3,6,10,12,21,27,29
0000000000000000	0000000030820410	6	1	28a01448	3,6,10,12,21,23,27,29
0000000000000000	0000000030830000	5	3	28201609	0,3,9,10,12,21,27,29
0000000000000000	0000000030830512	9	1	28e01408	3,10,12,21,22,23,27,29
0000000000000000	0000000030c20000	5	6	2020144d	0,2,3,6,10,12,21,29
0000000000000000	0000000030c30000	6	4	20211609	0,3,9,10,12,16,21,29
