mask_hex,rank,joint,active_rows,first_q,first_r,row_support_fnv
17300005,8,0,391,100,636,38e567eb72a62c3e
0a260141,8,0,99,294,636,1ec17b293d76866
0a4020b8,8,0,34,220,625,90733121fd443efc
20406868,8,0,8,520,630,3776a72894d06bf9
02515810,8,0,157,294,636,7394d2d3c4694b4b
050420b2,8,0,278,294,636,c921d9095294c496
2b088c00,8,0,391,100,636,38e567eb72a62c3e
0068211a,8,0,10,372,630,e2d5e891d8199c7a
02305884,8,0,387,100,636,54ac7ecfae414a90
020c28c8,8,0,149,294,636,80c663f54eb88c0a
20414036,8,0,9,520,630,4a3e019e0365820d
12029205,8,0,123,294,636,1569e4fae33ca237
09103203,8,0,387,294,636,818d255496388351
02076220,8,0,33,338,636,918a80dd3bafcb83
02c40d80,8,0,89,294,636,a9d6fa6ef21a8439
019d0030,8,0,7,332,624,59ce2c145fccc278
24448805,8,0,256,294,636,d66638c5d52c9d2c
25a20088,8,0,341,294,636,d2eff001cbb42428
31182140,8,0,379,100,636,498fbb9c8ce24db9
0842106c,8,0,11,338,636,f0913c9bd1a11649
29102c20,8,0,335,294,636,8bcbf816042c2662
042aa820,8,0,103,294,636,496b4ab46794d52a
2101b081,8,0,381,256,636,43219a04a8b13fde
08027821,8,0,276,294,636,8fdfe8859aeb2bfb
2408a418,8,0,390,100,636,dd4df11d527868d9
19501012,8,0,336,294,636,87577293ae5a922c
16e02100,8,0,376,100,636,ea1c2311bbac6dd0
0a284054,8,0,67,338,636,6a78f839b066f0c2
000e2816,8,0,116,294,636,551397554769ce2e
009920a1,8,0,145,294,636,81726b272d65f119
00241896,8,0,47,294,636,a3dbff43d97b6c79
300bc200,8,0,202,294,636,590f3405651d47d8
000cb211,8,0,270,294,636,73d36b04a657d9a7
20463005,8,0,331,256,636,e278ad27413ab29f
10a11302,8,0,84,338,636,2dcf3ade61daba42
010a30c4,8,0,371,294,636,e8856c302e0b7eda
1a044290,8,0,130,294,636,2577117844474124
04459480,8,0,380,100,636,e147aae0ebc527b2
08c23300,8,0,323,256,636,70903099d59e3c4c
1411011c,8,0,27,294,636,b9c9bd59a3b4490d
0a500885,8,0,240,294,636,1d88aec9b902acd9
15802a08,8,0,369,294,636,b1f8b4eca5082a6e
0023a089,8,0,322,256,636,df292d84f11c12b4
008e4409,8,0,369,100,636,3888501778c3cca6
03408cc0,8,0,391,100,636,38e567eb72a62c3e
0409b110,8,0,195,294,636,b7164793dfa83eb8
090a5402,8,0,364,294,636,cfc1dab08a97c827
080c6c40,8,0,247,294,636,80f44739415d38d1
29c04084,8,0,347,294,636,763d46308c2907c3
1005a520,8,0,11,294,632,a7b05a3411ba357a
12042413,8,0,225,294,636,c875b4f6ca34b676
290a0805,8,0,345,294,636,f1fdd052d2db9b52
13c10024,8,0,14,100,634,daf3c955904fa9af
28272010,8,0,103,294,636,794eed953bc9ecf9
0c0a8844,8,0,125,294,636,57a944a3570e1d04
0a104a0a,8,0,100,294,636,b75c5a79068ff195
1181a102,8,0,35,366,632,10dde2a01cd64982
01312882,8,0,240,294,636,2c58ac2d3ab5ed2c
0c004c13,8,0,69,294,636,81b6e02348b1f31e
3a001222,8,0,32,306,635,d1fd777d9a230cf2
11890406,8,0,112,338,636,220f651031ae7e8d
09382500,8,0,388,100,636,eeae825cbba591d
04066803,8,0,293,294,636,397a89f80e342a30
14262401,8,0,369,100,636,e59f324dfbfe4954
30701500,8,0,388,100,636,cb85043d3de79818
209015c0,8,0,43,338,636,67e6407cf7f10621
1e842100,8,0,383,100,636,c8671db3ef4f4cd
284a0224,8,0,148,338,636,f59f12935033c687
0091a302,8,0,10,248,622,733e9898b32525e1
2d018022,8,0,180,294,636,eff38e64e76ea135
11360810,8,0,303,294,636,7c32a507555decc8
02301c82,8,0,381,100,636,c15920ae761fe1c5
01a41340,8,0,335,100,636,6aa45722305c633b
1600045a,8,0,94,294,636,6bfdd8c8408e32ce
06443108,8,0,369,256,636,ee7f12c0f4d6b2c9
06292220,8,0,366,294,636,ccb4a5b8cf83241d
01581c04,8,0,382,100,636,67f318bc4c0ccc13
2a6c0040,8,0,322,294,636,e234ed3680c6a0dd
18602026,8,0,14,538,623,94c000c60476aa2f
0c982600,8,0,389,100,636,8fd75a00721c43cb
00365808,8,0,385,100,636,3b690623a7b961eb
3c020c80,8,0,357,256,636,a02d8f479ffb73a5
04d08a08,8,0,354,100,636,6896c2f9978194d5
1a0a8900,8,0,50,306,635,e40fb19574a8428d
1110e401,8,0,391,100,636,38e567eb72a62c3e
20866480,8,0,391,100,636,38e567eb72a62c3e
0070e084,8,0,349,256,636,afd20408be6e125b
0c2080c3,8,0,114,294,636,ae8029a73cd7616e
1c2001a2,8,0,8,332,624,4f94175e0f2a8a1c
12900382,8,0,27,282,632,1a5d1052eb1efe91
1408a089,8,0,391,100,636,38e567eb72a62c3e
09404903,8,0,67,332,630,e4fdc20caa92dfa6
200d20c2,8,0,288,294,636,84cbc417dc013635
210ea010,8,0,387,100,636,141d86e56bb728fa
0a1ac004,8,0,385,100,636,4989072c14113c45
260811a0,8,0,242,294,636,d3c70f63ca9b2858
21b20005,8,0,159,338,636,1d1325b8d93de5da
00694908,8,0,6,338,628,25ef7d1467b6ffc1
0111c441,8,0,383,100,636,d4ffb983c414ad2d
24002d06,8,0,15,294,632,3e1b39a10396f1ca
08044436,8,0,1,294,596,9d6a4705e2a7a812
10c41203,8,0,257,294,636,17c6a9715c7569d1
1034820a,8,0,263,294,636,577cec6213bc082b
02518601,8,0,390,100,636,4a3445d7f92e7ba3
0540051a,8,0,106,338,636,57d75a1c56078534
088e1021,8,0,110,294,636,ce5399feeff3ce22
06404914,8,0,13,338,636,4e843927f15e92d2
03423082,8,0,391,100,636,38e567eb72a62c3e
0300aa14,8,0,53,100,634,d63b57fc451bb0cb
0100e720,8,0,104,338,636,fd3012268a93ee18
29a14040,8,0,324,338,636,d02937ede078c37a
0c883420,8,0,347,294,636,49940e76c800a7a3
02073042,8,0,1,538,623,2a0d55ce5ac5c44
04881541,8,0,155,294,636,b93867e47dda2898
0420d190,8,0,326,100,636,4c0ca4d31c2f629e
30106214,8,0,296,294,636,89a715965880eab6
0260a811,8,0,129,338,636,f47981d20ca393bb
080c18c8,8,0,69,294,636,1f0299f543846a03
16103012,8,0,389,100,636,7bd0a13846ce1f84
182010b4,8,0,2,186,600,6f978149f524e473
28189201,8,0,381,100,636,68deb7767508a1dd
11812604,8,0,271,294,636,83b2227fd4c50f64
1c408520,8,0,67,294,636,904f900008343088
2100603c,8,0,127,338,636,97ba16cb794c3a14
01409684,8,0,222,294,636,c459ccc0cabaa744
0008720d,8,0,382,294,636,7c30173f6b5567d6
1b004304,8,0,81,338,636,9fe8d9c1a6256e45
18413022,8,0,54,332,624,3fdd26e2579bb49e
30540320,8,0,115,294,636,e9632abedf90d0ef
040f8021,8,0,238,294,636,4a02b0516709df4c
21522804,8,0,365,100,636,b183a131da873cea
08924860,8,0,245,294,636,7000a0946144959e
092e0820,8,0,126,294,636,e10384379d1de01c
10d04428,8,0,375,100,636,a8c21b044c70153c
064804c2,8,0,226,294,636,9dedc13453cf4a2b
12011681,8,0,216,294,636,63f9b99f85445262
1406a500,8,0,316,256,636,cf6b422cc5b6c67b
10923108,8,0,313,294,636,71f3d3cb79256a32
002c9c40,8,0,303,100,636,eecb086dcf3cdf4b
04212452,8,0,61,338,636,f3e3ac582694aa1
00c28e40,8,0,10,338,636,886da13cb3b7bf73
06044a42,8,0,26,294,636,66f255ffd6bb2d1d
28b02090,8,0,144,294,636,56442beb44952881
06204511,8,0,148,294,636,12f4f3d5c044f447
202c2540,8,0,299,294,636,d063e0849114a122
310a0502,8,0,257,294,636,1c99e0da294451fc
00181455,8,0,15,338,636,b0ce45a345608941
000e601c,8,0,252,294,636,1897b7903c8a48f2
14102286,8,0,329,294,636,160624de32073c0d
001a8451,8,0,148,294,636,b0cd4cad7a41c830
17810011,8,0,266,294,636,2c5233099522cdcb
1024044b,8,0,298,294,636,4bfcf62436646d72
0520b009,8,0,391,100,636,38e567eb72a62c3e
16062024,8,0,317,256,636,8cf26f81b47f255e
0c809016,8,0,196,294,636,59c151a6f9d46c53
101a2188,8,0,341,294,636,8da00c2a3b53e046
0f2c0800,8,0,391,100,636,38e567eb72a62c3e
21201a14,8,0,53,306,635,eb898fdcb82ef7f
001c4a03,8,0,134,294,636,bca75c832975c6f7
22501610,8,0,306,100,636,45259d95a4104b83
02812017,8,0,8,372,630,239419a741b800c9
006c8884,8,0,18,338,636,46d8e48b57d19c86
001814cc,8,0,90,294,636,e22786c01db2a352
0040c88d,8,0,112,294,636,ebbd3166e6862e91
051a0806,8,0,373,100,636,bd05679658a66b21
04025223,8,0,208,294,636,315f79b1975620ec
10487600,8,0,390,100,636,31fe421dcc88c51b
14512300,8,0,384,256,636,42f6e51007500230
04039450,8,0,100,294,636,5c29a344098a8a37
148aa004,8,0,278,294,636,d65732f0be96dea
0a20e801,8,0,286,294,636,699077c6528ea93c
011c3042,8,0,388,100,636,91340cf5eac27c7e
05a04824,8,0,290,294,636,8ab6ba9266e3ef56
0cf00022,8,0,160,294,636,8dfc883287000b4a
03a44801,8,0,327,100,636,a07b74fc02697b81
10145602,8,0,352,100,636,354a3a1fa4fdbe3e
0168420a,8,0,284,338,636,7fe9ca42416702dc
0060e818,8,0,23,338,636,6d1afac4b9662e88
0200c40f,8,0,293,100,636,7b063f993b5cced6
32082450,8,0,309,294,636,a2e0c73e7059dd0e
0a426600,8,0,388,100,636,1871431e85da551f
081a0b08,8,0,302,294,636,7de16def89cbf311
00615211,8,0,277,338,636,158e5fab3e6df427
3104c408,8,0,386,100,636,c925bec838d56652
0148c188,8,0,157,338,636,b1784da8cc8d64ed
02a0150c,8,0,358,100,636,433deb49b68edd8e
28132108,8,0,305,294,636,d20719e87f4df394
33802404,8,0,390,100,636,dd4df11d527868d9
21554001,8,0,391,100,636,38e567eb72a62c3e
046f0020,8,0,295,294,636,4134e92937b082b2
14d40044,8,0,383,100,636,d6a62deeafd35126
302a4401,8,0,329,100,636,49fc59fbc08bea8a
1020a609,8,0,334,294,636,18e42554e754160a
101411a8,8,0,149,294,636,e9b6aee3115eafcf
0c845820,8,0,354,294,636,10755adec417ebea
38242402,8,0,307,294,636,6c46ea26234b0a22
2c688080,8,0,341,294,636,b243ab04e4d3cd93
0c212144,8,0,98,294,632,286cd8096b9a077
31202422,8,0,253,338,636,405616c5f266de3c
2898008a,8,0,366,294,636,aba7315803ebddba
206050d0,8,0,270,100,636,8e77319456cecc8b
0112b440,8,0,391,100,636,38e567eb72a62c3e
0080f064,8,0,151,338,636,64a31a7bcaab0098
1a808841,8,0,22,306,626,7f43da3d57722dab
045b1001,8,0,391,100,636,38e567eb72a62c3e
32829200,8,0,189,338,636,4ae745ac9edac7f
0090241e,8,0,46,338,636,c1d3c5a910f62757
201c0c24,8,0,260,294,636,9becdd7f161a2e00
28882580,8,0,373,294,636,2a5061e759b81819
0830c049,8,0,331,294,636,b0dccf6c57649979
2019c120,8,0,262,294,636,f9b7fa0cdef841d9
01d0002b,8,0,287,294,636,551badc2b535818f
0e090054,8,0,29,294,636,dc09f878056046f9
04a60141,8,0,62,294,636,55499cd75c5a2ad2
15040621,8,0,368,100,636,5fa28a2fd72c7049
21600c11,8,0,72,338,636,f0895a1594c38ded
1510a804,8,0,390,100,636,7cc24dd128a05805
040940b1,8,0,168,294,636,fb4e8b80991bf284
2100360c,8,0,388,100,636,1867a5a4314caf51
30580444,8,0,343,100,636,1a7a323bfa1b43b9
0432081c,8,0,251,294,636,ad80dcef8a96b203
10a94900,8,0,37,338,636,95e09671c9f87d5a
08403d80,8,0,165,294,636,25891fadd3e97a02
1090424a,8,0,236,294,636,8bf5782cbaffa6b2
24512804,8,0,382,256,636,a7dad86280d2fb7f
08918288,8,0,4,248,622,1ae98df459b8018c
20ac6002,8,0,391,100,636,38e567eb72a62c3e
084c21c0,8,0,192,294,636,2b8a44bf686707e8
180a8418,8,0,271,294,636,96bc932beebdd02b
00a45a08,8,0,151,338,636,625eccf5356f693d
14780804,8,0,385,100,636,a36827dbdfa6d86b
2d01a100,8,0,311,294,636,7f39b66867ee6cca
21541401,8,0,391,100,636,38e567eb72a62c3e
26202062,8,0,227,294,636,ef5c65a5847a80ef
14350021,8,0,388,100,636,c6687833e35d751e
1520020b,8,0,388,100,636,ddc5909e3dfe254e
02055083,8,0,170,294,636,7a5745c2b8519ee3
04a80c88,8,0,363,100,636,7158d93e73ee00d5
020c10c5,8,0,71,294,636,1d7b21ed6c58f0b2
10451304,8,0,140,294,636,fe0a75918805e428
0802d310,8,0,34,338,636,57bc90339ffb58d2
19040126,8,0,33,294,632,14aff4052c81255b
1600a428,8,0,378,100,636,b7d8d5ccaba70dd8
10c9c200,8,0,364,294,636,84e46b0a02d762b7
05391800,8,0,391,100,636,38e567eb72a62c3e
23a81004,8,0,391,100,636,38e567eb72a62c3e
03928840,8,0,208,100,636,5064cfe598849976
20893420,8,0,245,338,636,11b919da13ec59df
09068488,8,0,386,100,636,d497e619de64108c
2a2004c4,8,0,36,338,636,abdc77de7bb002ef
03845410,8,0,391,100,636,38e567eb72a62c3e
02098449,8,0,388,100,636,a989679ca83cd21d
02886814,8,0,141,338,636,e2a15a078430db05
01815224,8,0,288,338,636,95a04b30d21a50f9
10a04702,8,0,111,338,636,adccde655d65c606
24082198,8,0,346,294,636,ea209a9d381a6a3f
201c1b00,8,0,182,338,636,b3c040127c8d498b
23a02204,8,0,316,338,636,d5c5af9020ad36a5
0400ed08,8,0,125,294,636,3b3c256e78782946
02581086,8,0,203,294,636,571708ce1f4e3d98
110c1412,8,0,338,294,636,e10c596faef9f24d
16288140,8,0,285,294,636,1c561c35fb6ac42a
0126c082,8,0,98,294,636,6b62b460ff12066b
20231488,8,0,363,100,636,b9e9dd5fa70645de
19880109,8,0,280,294,636,9bd01f04a9391328
010c8c81,8,0,334,100,636,bd9851ddae027a53
10644218,8,0,198,294,636,55465b48fea2e716
008c602a,8,0,316,294,636,628e5dafa13c24aa
220038a2,8,0,68,306,635,83eaca6f50d31042
1202a2c0,8,0,237,256,636,e848ac2a254c18c5
0580a448,8,0,390,100,636,14c891f298216d3f
20ec0c00,8,0,231,338,636,ba3ce28ee29f3cfe
082a5050,8,0,379,100,636,f226c9ecc31f2a27
01d24084,8,0,341,294,636,bc9f903e488e4770
013050c2,8,0,389,100,636,74bed854f1798dd3
06254084,8,0,337,100,636,1af4665299cdebb9
14830680,8,0,361,100,636,e12e14403895525
2a80c810,8,0,162,338,636,21e1ad3b1f824677
13240032,8,0,154,294,636,f6ed2167852f01dc
0b180890,8,0,283,294,636,8ea97f1bf6d577fa
0b813800,8,0,193,338,636,e260d1fa7813bfbc
32440a20,8,0,11,100,634,64aab0455a680af6
2048244a,8,0,359,100,636,49f969e06913c2d6
04a8012c,8,0,155,294,636,6ab9a830091287b1
004c41d0,8,0,6,338,636,b519ad64b0e4e022
04238380,8,0,164,294,636,9366ff0155b0c3ce
04191206,8,0,364,294,636,60b9cb08c555ab12
1600890a,8,0,123,294,636,c3d19740d8f8fec4
025500a1,8,0,98,294,636,6048c2c7a4d5fcc5
21a04086,8,0,324,294,636,5353ea585c6e4494
026a2120,8,0,68,338,636,82b29e9465ecd8c9
047300c0,8,0,317,294,636,541b0b977d0e1bc8
0a461088,8,0,348,256,636,2957034ce0e72d29
0860001f,8,0,2,260,610,d7b020896b567ee8
18881d00,8,0,39,338,636,89d2b93397a55b66
2806402c,8,0,293,294,636,e1affb4444f6840c
28891480,8,0,309,294,636,f28be7803f1aa5b9
0a0b2120,8,0,2,248,622,5e3182b4d6cd40c1
206e0042,8,0,191,338,636,2879a0a31a56bb5e
07214802,8,0,368,100,636,f1a8313fc163a6a2
25900a02,8,0,376,100,636,3a46ea6bb34d74cb
1054c480,8,0,385,100,636,7a811ffd2910864f
25026081,8,0,391,100,636,38e567eb72a62c3e
180b4050,8,0,70,338,636,ddc91baf736719db
22ea0020,8,0,66,338,636,8a1d468851556465
24780808,8,0,391,100,636,38e567eb72a62c3e
06246500,8,0,384,100,636,f122ecc8a9b802ff
006c1121,8,0,192,338,636,1e90343a9a63efa0
0b700088,8,0,377,100,636,989ee6f6cb0e21d5
28424284,8,0,271,294,636,8fd0978dca54550d
28160602,8,0,236,294,636,a5ea166d450d4df9
02744044,8,0,251,100,636,4ffce5129cf21c19
04023113,8,0,92,294,636,2a8c21ab34249c0b
0cc46008,8,0,390,100,636,ebc582a26bbc537a
1c005c01,8,0,359,294,636,5edcef91623f540f
20280e12,8,0,58,306,635,6cdf1e79ed91c6bd
32082064,8,0,106,338,636,aa4b557999925d58
02443122,8,0,7,538,623,c1c0161ac98b9b61
020c5803,8,0,226,294,636,ce17a2e4fb1d662b
10191103,8,0,30,332,630,ac3a28dbc555487f
02507048,8,0,372,100,636,c6c9e8eb05df5a9f
0b440450,8,0,205,294,636,faa8d08f4b9dbd25
16028248,8,0,119,294,636,4f47a0ccb37d71f9
24052980,8,0,265,294,636,1252ad939ba8557c
0c161802,8,0,379,100,636,998b487ff8534ab9
1252040a,8,0,383,100,636,6f237742ca24d2b5
00b880a4,8,0,65,294,636,36ce139dc187bd25
042a9030,8,0,287,294,636,6a4fccbe73db9033
0092510a,8,0,357,100,636,cc7d3b75de986481
0e494400,8,0,390,100,636,b42db3eb0915969a
00825518,8,0,101,338,636,65b62081e0e90ac1
1c82c080,8,0,388,100,636,697d4be3ca207300
28060291,8,0,239,294,636,44a3e421f719c829
05056820,8,0,317,294,636,61bb9c15cb59a493
0230c130,8,0,145,100,636,4aadece14ccdf650
24062e00,8,0,301,294,636,6a023c907ee2f60c
0008651a,8,0,28,338,636,1e09e1082d4d6733
2491c001,8,0,391,100,636,38e567eb72a62c3e
0480b106,8,0,222,294,636,a71e07ca1c91e693
09844450,8,0,352,100,636,741eb79e577e3e71
08a20229,8,0,286,294,636,222db974b962a8b9
10658014,8,0,13,346,626,952a70f384b924ef
0805201d,8,0,7,220,622,80ce097db2fa0bbc
22108611,8,0,322,100,636,e54c9624714d6b68
2bc02080,8,0,390,100,636,fb14b919ebb4b80f
07a01018,8,0,390,100,636,4a3445d7f92e7ba3
08043309,8,0,238,294,636,55ad89826e56082d
206e0041,8,0,230,294,636,7e5ce7975fd3922
06840485,8,0,355,100,636,3b4aef2b615b005e
209c4201,8,0,391,100,636,38e567eb72a62c3e
20279002,8,0,41,338,636,a141087872fa3dd8
05121481,8,0,391,100,636,38e567eb72a62c3e
0142c809,8,0,382,100,636,e8862d33e47e5c80
228c1022,8,0,214,338,636,c8d9d8893861bd4a
01c8b001,8,0,391,100,636,38e567eb72a62c3e
04805628,8,0,377,100,636,87146c0edc3df20e
0886c210,8,0,209,294,636,cbee6553c3f1c267
2100e520,8,0,241,294,636,f4a4ee548e0be57c
10903821,8,0,18,346,626,c49eed709ad81718
140082a5,8,0,46,294,636,c8ce9af9da1c8745
235a0008,8,0,391,100,636,38e567eb72a62c3e
0c272080,8,0,376,256,636,b2eb804be75ec530
04188292,8,0,147,294,636,36ad4c5153b3a730
36038080,8,0,309,294,636,d97fec84f4b544
23902028,8,0,320,294,636,c8e220f861a8b2a9
38241022,8,0,194,294,636,422834f7f39aeb0c
306a0140,8,0,37,306,635,b1e734c4e12d9348
0b081c01,8,0,391,100,636,38e567eb72a62c3e
05122414,8,0,353,256,636,e4eebd00a9cd3255
240d0130,8,0,177,294,636,a764124d14e0b249
03833008,8,0,239,338,636,988d3d37b489807f
19240418,8,0,353,256,636,7b663c87e8afe185
1402c882,8,0,98,294,636,8a1464e6f60dc075
2b480280,8,0,380,100,636,6383f01d7f1f2201
1a040a88,8,0,250,294,636,7fa56c7600c31cec
01231054,8,0,11,332,630,b0384ffe360c8b9e
0e28008c,8,0,303,294,636,d41215272c3ca06a
2600181a,8,0,227,294,636,505740e4ec101fce
2206e004,8,0,362,100,636,6c6e2276c21de043
0a120852,8,0,13,338,636,8fd290de27720f79
130a1028,8,0,157,338,636,b04d8260cf157f64
05852880,8,0,380,256,636,75e3bb563cf1f69a
28283480,8,0,391,100,636,38e567eb72a62c3e
31980028,8,0,378,100,636,99431eed82a0663f
0e048422,8,0,209,294,636,2c8a6b57b5334ae1
001a480e,8,0,178,294,636,60d8f1932dc2da5e
02a05a40,8,0,260,100,636,8c1ec527e8f33905
01704803,8,0,389,100,636,ac583cb49f5b0f3b
312401a0,8,0,133,294,636,cecf638814022694
0089c01a,8,0,24,100,634,d75343fe79a4572b
2203500c,8,0,111,338,636,4fe5399d45d4b254
13a01050,8,0,335,100,636,4a2a646b2ec50e50
28281890,8,0,235,294,636,313071035169094
058c4014,8,0,381,100,636,56394a50b1fe5dc
012c4a40,8,0,99,338,636,81789a18088cfd1a
01f40082,8,0,307,294,636,464f866dc9cd8eea
36101024,8,0,381,100,636,56ab861280ab581b
2ba00104,8,0,74,338,636,88d82beb2cd075b2
0c00e80c,8,0,286,294,636,8fda02379f7e7f86
11620212,8,0,7,306,635,9544e8d910cc60d5
18216808,8,0,169,338,636,fbf38b564775a0a8
20309340,8,0,267,100,636,7756fc2aba2a4d87
0e100454,8,0,74,294,636,7784a7040b7c233f
0e010262,8,0,26,294,636,21af423d9692fed2
1c023140,8,0,287,294,636,13052c37fb3a7a91
01562120,8,0,319,256,636,66538a7789d00319
00622382,8,0,179,294,636,a819f10581d078ff
040d6500,8,0,351,294,636,3baf20374e597d8e
22063404,8,0,376,100,636,24e9a7160f346afa
0381200b,8,0,276,294,636,ef290d3b049d8d6b
081b8082,8,0,208,294,636,7b000bfd2f52278b
160002c9,8,0,286,256,636,c77487a28f878903
1280d018,8,0,333,100,636,57ee28d2a40c521b
15244030,8,0,374,100,636,7ceaa94a2ae823ee
22b00403,8,0,391,100,636,38e567eb72a62c3e
00c52818,8,0,1,220,608,5efd5b8a48ba0e3
09902013,8,0,218,294,636,d0d813e238e03940
20342310,8,0,43,416,630,100fe5fbda993d0f
31009016,8,0,196,294,636,84e0e0cd8af389f1
210490c1,8,0,240,294,636,3e508101addcc5ee
30629080,8,0,185,294,636,9e3157ce904a5970
0034dc00,8,0,333,100,636,352444278da38026
01022c98,8,0,290,294,636,c8123a8b8eee52c5
005ac102,8,0,11,338,636,9d0faaaadbcb1dd7
3044021a,8,0,27,100,634,57e38fcb3778f717
0480a126,8,0,177,294,636,2d032aa598a08f51
000e22c2,8,0,187,294,636,73fc3a7c1c9cf74d
341c2020,8,0,391,100,636,38e567eb72a62c3e
06858480,8,0,387,100,636,c5cc594ac21c6d5
11480c06,8,0,129,294,636,f1325267b11db1d6
174c2000,8,0,391,100,636,38e567eb72a62c3e
0e201106,8,0,364,100,636,5a26df749430e6fb
10903228,8,0,238,338,636,8dd494d1e900ca08
24445088,8,0,388,100,636,61718253b20a19c0
021500a9,8,0,48,294,636,16814a047516d610
1602018a,8,0,87,294,636,f88bde181fbe5377
294004c1,8,0,260,294,636,8a10d9d837415f61
02615003,8,0,337,100,636,37533fb0afd2abd2
2a890201,8,0,262,338,636,5ae2e470e0e21813
1a409028,8,0,140,338,636,c98b43fee0c55284
0c0c1105,8,0,255,294,636,30e6b7cdeb9d3d1e
32c01c00,8,0,387,100,636,66c73a3c3d64327f
21456100,8,0,341,294,636,614ee405021d20d0
11c001a1,8,0,17,220,622,e5c844812f86d82b
340006c4,8,0,46,294,636,aaba3074c8cd9e08
0140628a,8,0,373,294,636,6a043560ee1a9fb6
22862012,8,0,185,294,636,643310a4090c6bf8
09302860,8,0,77,306,635,1061026af480b395
025340a0,8,0,10,338,636,854e244d2987f802
2081a409,8,0,276,294,636,5ec5b8f07d44a16f
05340124,8,0,383,100,636,45ecde502040018
1014044d,8,0,332,294,636,fc76977365e7fd0e
34208290,8,0,68,294,636,a4462359869dbf5e
29498040,8,0,246,338,636,7924a5d0c911b171
084a21a0,8,0,321,294,636,75be540aad24a00b
14c10019,8,0,373,256,636,208a2bb65adbafdd
1a04a440,8,0,385,100,636,c8cd56e5406ad226
003a10e0,8,0,294,294,636,667f725520fe7b54
15808142,8,0,125,294,636,f5b8e48e79ea9b
105a8104,8,0,9,265,625,d21b2a97f4171f3b
1204a212,8,0,320,256,636,d04428c8b4312fff
10149092,8,0,264,294,636,7ffc7b1b3cd68540
0cc01504,8,0,164,294,636,dd090458c5ebdb61
1094a801,8,0,371,100,636,fed7f7ed5e4d00d5
16422022,8,0,273,294,636,a666ef005e0d08e8
301028c1,8,0,220,294,636,9c6fbf1f6ad54b68
17100a40,8,0,384,100,636,8e52bdc229249e97
2c020033,8,0,97,294,636,6e8825e4eea0e711
